StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
712,F,2014-02,facom49010,39,12,40.342442718101715
716,M,2014-02,facom49010,85,10,48.77984440629432
936,F,2009-02,gem03,60,11,48.588551864801865
722,M,2014-02,facom49010,37,2,56.44101846975955
425,M,2017-02,ggi005,90,0,60.08045323548604
723,M,2014-02,facom49010,79,8,49.73118208489337
452,M,2016-02,ggi017,12,22,12.690305250305249
708,M,2014-02,facom49010,65,8,49.73118208489337
719,M,2014-02,facom49010,56,12,40.342442718101715
717,M,2014-02,facom49010,47,2,56.44101846975955
441,M,2017-02,ggi005,1,8,49.73118208489337
834,M,2013-01,gsi005,28,20,13.804909534909536
412,F,2017-02,ggi017,1,30,8.961982461982462
412,F,2016-02,ggi017,0,24,13.48807045895281
429,M,2017-02,ggi005,10,4,57.8205460625901
835,F,2013-01,gsi005,66,0,60.08045323548604
820,M,2013-01,gsi005,0,78,0.0
442,F,2017-02,ggi005,0,28,11.698275058275057
424,M,2017-02,ggi005,18,36,4.983174603174602
808,F,2015-01,gsi015,60,8,49.73118208489337
808,F,2013-01,gsi005,63,2,56.44101846975955
720,M,2014-02,facom49010,94,4,57.8205460625901
817,M,2013-01,gsi005,0,78,0.0
793,M,2014-01,gsi015,80,8,49.73118208489337
793,M,2013-01,gsi005,80,4,57.8205460625901
431,M,2017-02,ggi005,0,38,5.790912092293672
419,F,2017-02,ggi005,0,36,4.983174603174602
432,M,2017-02,ggi005,34,8,49.73118208489337
728,M,2014-02,facom49010,32,6,49.16308781137546
729,M,2014-02,facom49010,41,12,40.342442718101715
718,M,2014-02,facom49010,69,6,49.16308781137546
699,M,2014-02,gsi015,64,0,60.08045323548604
699,M,2013-01,gsi005,66,0,60.08045323548604
724,M,2014-02,facom49010,81,2,56.44101846975955
843,M,2013-01,gsi005,60,16,35.99238231499857
414,F,2017-02,ggi017,18,16,35.99238231499857
414,F,2016-02,ggi017,4,20,13.804909534909536
427,M,2017-02,ggi005,9,8,49.73118208489337
454,M,2016-02,ggi017,0,34,8.312685786435786
417,F,2017-02,ggi005,12,14,39.286198151055295
822,F,2013-01,gsi005,38,20,13.804909534909536
965,M,2010-01,inf63,0,10,48.77984440629432
269,M,2010-02,inf63,60,18,36.04690061019081
900,M,2009-02,gem03,46,0,60.08045323548604
501,M,2015-02,gsi015,0,42,0.0
903,M,2009-02,gem03,0,0,60.08045323548604
896,M,2009-02,gem03,9,15,28.35
504,M,2015-02,gsi015,0,38,5.790912092293672
106,F,2016-02,gsi015,3,6,49.16308781137546
468,F,2015-02,gsi015,61,2,56.44101846975955
509,M,2015-02,gsi015,0,34,8.312685786435786
527,F,2015-02,gsi037,82,16,35.99238231499857
784,M,2014-01,gsi015,0,34,8.312685786435786
784,M,2013-01,gsi005,26,14,39.286198151055295
672,M,2012-02,gsi005,70,4,57.8205460625901
672,M,2014-01,gsi015,79,4,57.8205460625901
672,M,2013-02,gsi015,2,13,15.394927536231885
518,M,2015-02,gsi037,92,8,49.73118208489337
518,M,2014-01,gsi015,80,4,57.8205460625901
502,M,2015-02,gsi015,88,0,60.08045323548604
127,M,2016-02,gsi015,37,22,12.690305250305249
827,F,2013-01,gsi005,56,6,49.16308781137546
811,M,2015-01,gsi015,38,8,49.73118208489337
117,F,2016-02,gsi015,3,30,8.961982461982462
117,F,2015-02,gsi015,9,22,12.690305250305249
486,F,2015-02,gsi015,66,4,57.8205460625901
1014,M,2013-02,gsi015,60,2,56.44101846975955
1009,M,2013-02,gsi015,60,8,49.73118208489337
536,M,2015-02,gsi037,83,24,13.48807045895281
680,M,2012-02,gsi005,60,6,49.16308781137546
680,M,2013-02,gsi015,77,6,49.16308781137546
661,M,2012-02,gsi005,5,24,13.48807045895281
678,F,2012-02,gsi005,60,4,57.8205460625901
678,F,2015-01,gsi015,6,22,12.690305250305249
678,F,2013-02,gsi015,11,12,40.342442718101715
609,M,2013-02,gsi005,0,54,0.0
609,M,2012-02,gsi005,15,18,36.04690061019081
276,F,2010-02,inf63,10,23,11.872539682539683
210,M,2009-01,inf63,60,14,39.286198151055295
280,M,2010-02,inf63,42,10,48.77984440629432
94,F,2016-02,gsi015,14,6,49.16308781137546
476,M,2015-02,gsi015,50,15,28.35
679,M,2012-02,gsi005,67,10,48.77984440629432
679,M,2014-01,gsi015,70,14,39.286198151055295
679,M,2013-02,gsi015,37,6,49.16308781137546
664,M,2012-02,gsi005,60,4,57.8205460625901
694,M,2012-02,gsi005,60,2,56.44101846975955
694,M,2013-02,gsi015,60,14,39.286198151055295
676,F,2012-02,gsi005,60,12,40.342442718101715
659,M,2012-02,gsi005,79,10,48.77984440629432
657,F,2012-02,gsi005,83,10,48.77984440629432
657,F,2014-01,gsi015,69,10,48.77984440629432
657,F,2013-02,gsi015,2,28,11.698275058275057
682,F,2012-02,gsi005,16,4,57.8205460625901
667,M,2012-02,gsi005,15,16,35.99238231499857
282,M,2010-02,inf63,60,12,40.342442718101715
927,F,2009-02,gem03,78,3,63.2926997194412
925,F,2009-02,gem03,54,6,49.16308781137546
907,M,2009-02,gem03,51,3,63.2926997194412
508,M,2015-02,gsi015,66,2,56.44101846975955
123,M,2016-02,gsi015,17,16,35.99238231499857
924,F,2009-02,gem03,65,3,63.2926997194412
85,F,2016-02,gsi015,0,12,40.342442718101715
685,F,2012-02,gsi005,23,12,40.342442718101715
685,F,2014-01,gsi015,0,38,5.790912092293672
685,F,2013-01,gsi005,25,18,36.04690061019081
666,F,2012-02,gsi005,18,14,39.286198151055295
666,F,2015-01,gsi015,70,6,49.16308781137546
666,F,2013-02,gsi015,7,10,48.77984440629432
669,M,2012-02,gsi005,61,4,57.8205460625901
669,M,2013-02,gsi015,69,10,48.77984440629432
517,M,2015-02,gsi037,37,28,11.698275058275057
845,F,2013-01,gsi015,32,38,5.790912092293672
692,F,2012-02,gsi005,24,6,49.16308781137546
692,F,2013-01,gsi005,18,68,9.0
668,M,2012-02,gsi005,31,0,60.08045323548604
986,M,2010-01,gsi014,87,8,49.73118208489337
985,M,2010-01,gsi014,75,4,57.8205460625901
31,M,2011-01,gsi014,25,4,57.8205460625901
31,M,2010-02,inf63,3,14,39.286198151055295
31,M,2011-02,gsi014,60,10,48.77984440629432
29,M,2011-01,gsi014,23,0,60.08045323548604
29,M,2010-02,inf63,12,8,49.73118208489337
29,M,2011-02,gsi014,22,22,12.690305250305249
25,M,2011-01,gsi014,60,0,60.08045323548604
25,M,2010-02,inf63,28,11,48.588551864801865
183,M,2009-01,inf63,41,4,57.8205460625901
183,M,2009-02,inf63,73,10,48.77984440629432
532,M,2015-02,gsi037,71,4,57.8205460625901
697,M,2014-02,gsi015,81,8,49.73118208489337
535,M,2015-02,gsi037,80,5,50.58936507936507
638,M,2011-02,gsi005,60,12,40.342442718101715
638,M,2013-02,gsi015,60,4,57.8205460625901
370,M,2012-02,gsi015,8,18,36.04690061019081
627,M,2011-02,gsi005,26,22,12.690305250305249
514,M,2015-02,gsi037,72,14,39.286198151055295
352,F,2012-02,gsi015,0,72,1.8
135,M,2009-01,inf63,29,0,60.08045323548604
135,M,2009-02,inf63,1,2,56.44101846975955
474,F,2015-02,gsi015,7,14,39.286198151055295
994,M,2010-01,gsi014,33,2,56.44101846975955
993,M,2010-01,gsi014,95,0,60.08045323548604
898,M,2009-02,gem03,0,11,48.588551864801865
992,F,2010-01,gsi014,60,10,48.77984440629432
293,M,2010-02,inf63,60,2,56.44101846975955
293,M,2010-01,gsi014,35,2,56.44101846975955
46,M,2011-01,gsi014,39,2,56.44101846975955
46,M,2010-02,inf63,31,2,56.44101846975955
41,F,2011-01,gsi014,25,26,21.692178932178933
41,F,2010-02,inf63,15,10,48.77984440629432
41,F,2010-01,gsi014,2,16,35.99238231499857
990,M,2010-01,gsi014,90,0,60.08045323548604
45,M,2011-01,gsi014,30,4,57.8205460625901
45,M,2010-02,inf63,2,6,49.16308781137546
45,M,2011-02,gsi014,18,26,21.692178932178933
892,M,2009-02,gem03,60,0,60.08045323548604
910,M,2009-02,gem03,60,0,60.08045323548604
991,M,2010-01,gsi014,91,2,56.44101846975955
214,F,2011-01,facom49010,43,1,74.48540764790764
915,M,2009-02,gem03,80,3,63.2926997194412
891,F,2009-02,gem03,55,4,57.8205460625901
913,M,2009-02,gem03,77,2,56.44101846975955
914,F,2009-02,gem03,65,7,71.137673992674
218,M,2011-01,facom49010,98,0,60.08045323548604
217,M,2011-01,facom49010,71,4,57.8205460625901
216,F,2011-01,facom49010,52,5,50.58936507936507
215,M,2011-01,facom49010,94,0,60.08045323548604
223,M,2011-01,facom49010,93,3,63.2926997194412
222,M,2011-01,facom49010,94,3,63.2926997194412
221,M,2011-01,facom49010,96,0,60.08045323548604
219,M,2011-01,facom49010,30,13,15.394927536231885
909,M,2009-02,gem03,88,0,60.08045323548604
988,M,2010-01,gsi014,50,12,40.342442718101715
292,M,2010-02,inf63,37,6,49.16308781137546
292,M,2010-01,gsi014,21,4,57.8205460625901
912,M,2009-02,gem03,87,0,60.08045323548604
905,M,2009-02,gem03,62,2,56.44101846975955
908,M,2009-02,gem03,91,3,63.2926997194412
989,M,2010-01,gsi014,79,14,39.286198151055295
34,M,2011-01,gsi014,31,2,56.44101846975955
34,M,2010-02,inf63,3,0,60.08045323548604
987,M,2010-01,gsi014,72,0,60.08045323548604
632,M,2011-02,gsi005,44,16,35.99238231499857
287,M,2010-02,inf63,64,2,56.44101846975955
287,M,2010-01,gsi014,50,6,49.16308781137546
904,M,2009-02,gem03,74,4,57.8205460625901
446,M,2017-02,ggi005,25,16,35.99238231499857
290,M,2010-02,inf63,69,2,56.44101846975955
290,M,2015-02,gsi037,79,8,49.73118208489337
901,M,2009-02,gem03,54,0,60.08045323548604
289,M,2010-02,inf63,0,16,35.99238231499857
902,M,2009-02,gem03,79,0,60.08045323548604
897,M,2009-02,gem03,80,3,63.2926997194412
899,M,2009-02,gem03,83,0,60.08045323548604
894,F,2009-02,gem03,96,0,60.08045323548604
895,M,2009-02,gem03,66,0,60.08045323548604
459,M,2016-02,ggi017,1,38,5.790912092293672
874,M,2009-01,gem03,0,52,1.0252380952380953
721,M,2014-02,facom49010,39,2,56.44101846975955
709,M,2014-02,facom49010,60,18,36.04690061019081
87,M,2016-02,gsi015,43,0,60.08045323548604
726,M,2014-02,facom49010,43,8,49.73118208489337
461,F,2016-02,ggi017,0,38,5.790912092293672
466,M,2016-02,ggi017,89,10,48.77984440629432
566,M,2015-01,gfm015,65,6,49.16308781137546
636,M,2011-02,gsi005,60,8,49.73118208489337
635,F,2011-02,gsi005,68,6,49.16308781137546
637,M,2011-02,gsi005,12,12,40.342442718101715
637,M,2013-01,gsi015,78,8,49.73118208489337
364,M,2012-02,gsi015,99,8,49.73118208489337
364,M,2011-02,gsi005,71,2,56.44101846975955
400,F,2017-02,ggi017,0,46,20.961904761904762
358,M,2012-02,gsi015,28,8,49.73118208489337
358,M,2011-02,gsi005,33,2,56.44101846975955
361,M,2012-02,gsi015,60,2,56.44101846975955
361,M,2015-02,gsi037,64,14,39.286198151055295
361,M,2011-02,gsi005,60,0,60.08045323548604
360,M,2012-02,gsi015,22,8,49.73118208489337
360,M,2011-02,gsi005,60,8,49.73118208489337
