StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
965,M,2010-01,inf63,0,10,45.76975354710649
269,M,2010-02,inf63,60,18,32.63722222222223
900,M,2009-02,gem03,46,0,61.89409798534799
501,M,2015-02,gsi015,0,42,0.0
903,M,2009-02,gem03,0,0,61.89409798534799
896,M,2009-02,gem03,9,15,59.76818181818182
504,M,2015-02,gsi015,0,38,0.0
106,F,2016-02,gsi015,3,6,55.489641517263635
468,F,2015-02,gsi015,61,2,62.57671514106808
509,M,2015-02,gsi015,0,34,3.5
527,F,2015-02,gsi037,82,16,75.27000000000001
784,M,2014-01,gsi015,0,34,3.5
784,M,2013-01,gsi005,26,14,21.086904761904762
672,M,2012-02,gsi005,70,4,50.207818850067724
672,M,2014-01,gsi015,79,4,62.1510829962276
672,M,2013-02,gsi015,2,13,10.002727272727274
518,M,2015-02,gsi037,92,8,82.26857142857143
518,M,2014-01,gsi015,80,4,62.1510829962276
502,M,2015-02,gsi015,88,0,71.19967706313294
127,M,2016-02,gsi015,37,22,15.231468253968256
827,F,2013-01,gsi005,56,6,41.04712933995829
811,M,2015-01,gsi015,38,8,52.25605223080223
117,F,2016-02,gsi015,3,30,10.383095238095239
117,F,2015-02,gsi015,9,22,15.231468253968256
486,F,2015-02,gsi015,66,4,62.1510829962276
1014,M,2013-02,gsi015,60,2,62.57671514106808
1009,M,2013-02,gsi015,60,8,52.25605223080223
536,M,2015-02,gsi037,83,24,33.99
680,M,2012-02,gsi005,60,6,41.04712933995829
680,M,2013-02,gsi015,77,6,55.489641517263635
661,M,2012-02,gsi005,5,24,9.586666666666668
678,F,2012-02,gsi005,60,4,50.207818850067724
678,F,2015-01,gsi015,6,22,15.231468253968256
678,F,2013-02,gsi015,11,12,37.34099125848352
609,M,2013-02,gsi005,0,54,0.0
609,M,2012-02,gsi005,15,18,26.89428571428571
276,F,2010-02,inf63,10,23,8.8
210,M,2009-01,inf63,60,14,17.768055555555556
280,M,2010-02,inf63,42,10,45.76975354710649
94,F,2016-02,gsi015,14,6,55.489641517263635
476,M,2015-02,gsi015,50,15,13.793333333333333
679,M,2012-02,gsi005,67,10,44.57619267866636
679,M,2014-01,gsi015,70,14,31.787576606400137
679,M,2013-02,gsi015,37,6,55.489641517263635
664,M,2012-02,gsi005,60,4,50.207818850067724
694,M,2012-02,gsi005,60,2,57.25812800476755
694,M,2013-02,gsi015,60,14,31.787576606400137
676,F,2012-02,gsi005,60,12,41.44494755244756
659,M,2012-02,gsi005,79,10,44.57619267866636
657,F,2012-02,gsi005,83,10,44.57619267866636
657,F,2014-01,gsi015,69,10,43.55887315883291
657,F,2013-02,gsi015,2,28,6.69595238095238
682,F,2012-02,gsi005,16,4,50.207818850067724
667,M,2012-02,gsi005,15,16,23.636889499389504
282,M,2010-02,inf63,60,12,47.696666666666665
927,F,2009-02,gem03,78,3,61.34290154290155
925,F,2009-02,gem03,54,6,60.59214285714286
907,M,2009-02,gem03,51,3,61.34290154290155
508,M,2015-02,gsi015,66,2,62.57671514106808
123,M,2016-02,gsi015,17,16,26.61737151737152
924,F,2009-02,gem03,65,3,61.34290154290155
85,F,2016-02,gsi015,0,12,37.34099125848352
685,F,2012-02,gsi005,23,12,41.44494755244756
685,F,2014-01,gsi015,0,38,0.0
685,F,2013-01,gsi005,25,18,26.89428571428571
666,F,2012-02,gsi005,18,14,21.086904761904762
666,F,2015-01,gsi015,70,6,55.489641517263635
666,F,2013-02,gsi015,7,10,43.55887315883291
669,M,2012-02,gsi005,61,4,50.207818850067724
669,M,2013-02,gsi015,69,10,43.55887315883291
517,M,2015-02,gsi037,37,28,26.8
845,F,2013-01,gsi015,32,38,0.0
692,F,2012-02,gsi005,24,6,41.04712933995829
692,F,2013-01,gsi005,18,68,12.6
668,M,2012-02,gsi005,31,0,49.49473075488123
986,M,2010-01,gsi014,87,8,55.38188672438673
985,M,2010-01,gsi014,75,4,57.95214743589744
31,M,2011-01,gsi014,25,4,57.95214743589744
31,M,2010-02,inf63,3,14,17.768055555555556
31,M,2011-02,gsi014,60,10,63.080396825396825
29,M,2011-01,gsi014,23,0,57.604094058676104
29,M,2010-02,inf63,12,8,38.80537851037851
29,M,2011-02,gsi014,22,22,19.7
25,M,2011-01,gsi014,60,0,57.604094058676104
25,M,2010-02,inf63,28,11,43.25454545454546
183,M,2009-01,inf63,41,4,58.49403950229764
183,M,2009-02,inf63,73,10,45.76975354710649
532,M,2015-02,gsi037,71,4,75.80999999999999
697,M,2014-02,gsi015,81,8,52.25605223080223
535,M,2015-02,gsi037,80,5,76.6
638,M,2011-02,gsi005,60,12,41.44494755244756
638,M,2013-02,gsi015,60,4,62.1510829962276
370,M,2012-02,gsi015,8,18,35.51038794538795
627,M,2011-02,gsi005,26,22,21.953333333333333
514,M,2015-02,gsi037,72,14,67.68071428571429
352,F,2012-02,gsi015,0,72,0.0
135,M,2009-01,inf63,29,0,54.533639119402004
