Unknown1,Sex,Date,Subject,Grade,Unknown2
508,M,2015-02,gsi015,66,2
123,M,2016-02,gsi015,17,16
924,F,2009-02,gem03,65,3
85,F,2016-02,gsi015,0,12
685,F,2012-02,gsi005,23,12
685,F,2014-01,gsi015,0,38
685,F,2013-01,gsi005,25,18
666,F,2012-02,gsi005,18,14
666,F,2015-01,gsi015,70,6
666,F,2013-02,gsi015,7,10
669,M,2012-02,gsi005,61,4
669,M,2013-02,gsi015,69,10
517,M,2015-02,gsi037,37,28
845,F,2013-01,gsi015,32,38
692,F,2012-02,gsi005,24,6
692,F,2013-01,gsi005,18,68
668,M,2012-02,gsi005,31,0
986,M,2010-01,gsi014,87,8
985,M,2010-01,gsi014,75,4
31,M,2011-01,gsi014,25,4
31,M,2010-02,inf63,3,14
31,M,2011-02,gsi014,60,10
29,M,2011-01,gsi014,23,0
29,M,2010-02,inf63,12,8
29,M,2011-02,gsi014,22,22
25,M,2011-01,gsi014,60,0
25,M,2010-02,inf63,28,11
183,M,2009-01,inf63,41,4
183,M,2009-02,inf63,73,10
532,M,2015-02,gsi037,71,4
697,M,2014-02,gsi015,81,8
535,M,2015-02,gsi037,80,5
638,M,2011-02,gsi005,60,12
638,M,2013-02,gsi015,60,4
370,M,2012-02,gsi015,8,18
627,M,2011-02,gsi005,26,22
514,M,2015-02,gsi037,72,14
352,F,2012-02,gsi015,0,72
135,M,2009-01,inf63,29,0
135,M,2009-02,inf63,1,2
474,F,2015-02,gsi015,7,14
994,M,2010-01,gsi014,33,2
993,M,2010-01,gsi014,95,0
898,M,2009-02,gem03,0,11
992,F,2010-01,gsi014,60,10
293,M,2010-02,inf63,60,2
293,M,2010-01,gsi014,35,2
46,M,2011-01,gsi014,39,2
46,M,2010-02,inf63,31,2
41,F,2011-01,gsi014,25,26
41,F,2010-02,inf63,15,10
41,F,2010-01,gsi014,2,16
990,M,2010-01,gsi014,90,0
45,M,2011-01,gsi014,30,4
45,M,2010-02,inf63,2,6
45,M,2011-02,gsi014,18,26
892,M,2009-02,gem03,60,0
910,M,2009-02,gem03,60,0
991,M,2010-01,gsi014,91,2
214,F,2011-01,facom49010,43,1
915,M,2009-02,gem03,80,3
891,F,2009-02,gem03,55,4
913,M,2009-02,gem03,77,2
914,F,2009-02,gem03,65,7
218,M,2011-01,facom49010,98,0
217,M,2011-01,facom49010,71,4
216,F,2011-01,facom49010,52,5
215,M,2011-01,facom49010,94,0
223,M,2011-01,facom49010,93,3
222,M,2011-01,facom49010,94,3
221,M,2011-01,facom49010,96,0
219,M,2011-01,facom49010,30,13
909,M,2009-02,gem03,88,0
988,M,2010-01,gsi014,50,12
292,M,2010-02,inf63,37,6
292,M,2010-01,gsi014,21,4
912,M,2009-02,gem03,87,0
905,M,2009-02,gem03,62,2
908,M,2009-02,gem03,91,3
989,M,2010-01,gsi014,79,14
34,M,2011-01,gsi014,31,2
34,M,2010-02,inf63,3,0
987,M,2010-01,gsi014,72,0
632,M,2011-02,gsi005,44,16
287,M,2010-02,inf63,64,2
287,M,2010-01,gsi014,50,6
904,M,2009-02,gem03,74,4
446,M,2017-02,ggi005,25,16
290,M,2010-02,inf63,69,2
290,M,2015-02,gsi037,79,8
901,M,2009-02,gem03,54,0
289,M,2010-02,inf63,0,16
902,M,2009-02,gem03,79,0
897,M,2009-02,gem03,80,3
899,M,2009-02,gem03,83,0
894,F,2009-02,gem03,96,0
895,M,2009-02,gem03,66,0
459,M,2016-02,ggi017,1,38
874,M,2009-01,gem03,0,52
721,M,2014-02,facom49010,39,2
709,M,2014-02,facom49010,60,18
87,M,2016-02,gsi015,43,0
726,M,2014-02,facom49010,43,8
461,F,2016-02,ggi017,0,38
466,M,2016-02,ggi017,89,10
566,M,2015-01,gfm015,65,6
636,M,2011-02,gsi005,60,8
635,F,2011-02,gsi005,68,6
637,M,2011-02,gsi005,12,12
637,M,2013-01,gsi015,78,8
364,M,2012-02,gsi015,99,8
364,M,2011-02,gsi005,71,2
400,F,2017-02,ggi017,0,46
358,M,2012-02,gsi015,28,8
358,M,2011-02,gsi005,33,2
361,M,2012-02,gsi015,60,2
361,M,2015-02,gsi037,64,14
361,M,2011-02,gsi005,60,0
360,M,2012-02,gsi015,22,8
360,M,2011-02,gsi005,60,8
360,M,2015-01,gsi015,60,10
360,M,2013-01,gsi015,17,8
360,M,2013-02,gsi015,8,16
972,M,2010-01,inf63,29,26
258,M,2010-02,inf63,31,18
258,M,2010-01,inf63,4,10
974,M,2010-01,inf63,60,4
982,M,2010-01,inf63,60,8
411,M,2017-02,ggi017,75,0
409,M,2017-02,ggi017,16,22
366,M,2012-02,gsi015,72,6
366,M,2015-02,gsi037,64,16
366,M,2011-02,gsi005,61,10
365,M,2012-02,gsi015,27,16
640,M,2011-02,gsi005,25,2
371,M,2012-02,gsi015,19,8
371,M,2011-02,gsi005,60,0
371,M,2014-01,gsi015,12,28
371,M,2015-01,gsi015,0,42
371,M,2013-01,gsi015,25,8
266,F,2010-02,inf63,60,8
266,F,2015-02,gsi037,81,12
369,M,2012-02,gsi015,15,32
369,M,2015-02,gsi015,74,8
369,M,2011-02,gsi005,70,2
426,M,2017-02,ggi005,0,30
367,M,2012-02,gsi015,60,2
367,M,2011-02,gsi005,75,2
448,F,2017-02,ggi005,15,6
639,M,2011-02,gsi005,14,6
639,M,2014-01,gsi015,0,24
639,M,2013-01,gsi015,0,26
272,M,2010-02,inf63,41,26
505,M,2015-02,gsi015,60,4
478,M,2015-02,gsi015,60,14
478,M,2015-01,gsi015,45,12
275,F,2010-02,inf63,60,2
274,M,2010-02,inf63,38,18
126,M,2016-02,gsi015,12,12
495,M,2015-02,gsi015,77,4
487,M,2015-02,gsi015,92,2
401,F,2017-02,ggi017,2,40
401,F,2017-02,ggi005,0,38
374,F,2012-02,gsi015,77,18
374,F,2011-02,gsi005,80,2
399,M,2017-02,ggi017,0,44
373,F,2012-02,gsi015,5,28
373,F,2015-02,gsi015,54,4
373,F,2011-02,gsi005,60,10
455,F,2016-02,ggi017,84,6
36,M,2011-01,gsi014,83,0
37,M,2011-01,gsi014,60,2
325,M,2011-02,gsi014,46,4
325,M,2012-02,gsi015,18,18
325,M,2013-02,gsi015,0,42
438,M,2017-02,ggi005,61,4
362,M,2012-02,gsi015,25,4
362,M,2013-01,gsi015,67,7
43,M,2011-01,gsi014,37,4
444,M,2017-02,ggi005,42,6
327,F,2011-02,gsi014,37,16
428,M,2017-02,ggi005,11,24
506,M,2015-02,gsi015,64,4
472,M,2015-02,gsi015,71,6
481,M,2015-02,gsi015,77,4
44,M,2011-01,gsi014,39,6
445,M,2017-02,ggi005,62,6
422,M,2017-02,ggi005,7,20
439,M,2017-02,ggi005,1,24
423,M,2017-02,ggi005,7,8
413,F,2017-02,ggi017,0,39
628,F,2011-02,gsi005,60,10
628,F,2014-01,gsi015,13,30
628,F,2015-01,gsi015,0,60
628,F,2013-02,gsi015,0,28
570,M,2013-02,gsi005,27,4
570,M,2011-02,gsi005,33,12
570,M,2014-02,gsi015,0,38
630,M,2011-02,gsi005,60,2
630,M,2014-01,gsi015,60,6
630,M,2013-01,gsi015,25,6
630,M,2013-02,gsi015,36,8
572,M,2013-02,gsi005,10,32
572,M,2011-02,gsi005,24,14
28,M,2011-01,gsi014,35,0
28,M,2011-02,gsi014,64,4
30,M,2011-01,gsi014,47,2
30,M,2011-02,gsi014,88,4
84,M,2016-02,gsi015,35,14
84,M,2012-02,gsi015,10,16
84,M,2013-01,gsi015,10,44
626,M,2011-02,gsi005,60,18
626,M,2013-02,gsi015,60,14
322,M,2011-02,gsi014,22,6
322,M,2012-02,gsi015,0,72
322,M,2013-02,gsi015,2,24
477,F,2015-02,gsi015,82,0
485,M,2015-02,gsi015,78,0
511,M,2015-02,gsi015,78,0
469,M,2015-02,gsi015,65,2
119,M,2016-02,gsi015,0,30
119,M,2015-02,gsi015,21,20
470,M,2015-02,gsi015,70,18
32,M,2011-01,gsi014,44,0
418,F,2017-02,ggi005,15,6
434,F,2017-02,ggi005,65,4
33,M,2011-01,gsi014,71,6
35,M,2011-01,gsi014,60,0
354,F,2012-02,gsi015,53,4
354,F,2011-02,gsi005,60,0
354,F,2013-01,gsi015,60,2
631,M,2011-02,gsi005,22,26
357,M,2012-02,gsi015,0,48
357,M,2011-02,gsi005,100,2
357,M,2013-01,gsi015,0,72
866,M,2009-01,gem03,60,0
355,M,2012-02,gsi015,95,6
355,M,2015-02,gsi037,81,2
355,M,2011-02,gsi005,60,8
403,M,2017-02,ggi017,16,10
629,M,2011-02,gsi005,70,2
